769 128,30 A1 uppfattning noun-en
770 128,13 A1 demokrat noun-en
771 128,01 A1 bolag noun-ett
772 127,97 A1 erfarenhet noun-en
773 127,81 A1 kritik noun-en
774 127,76 A1 grad noun-en
775 127,57 A1 jude noun-en
776 127,57 A1 vacker adjective
777 127,44 A1 erbjuda verb
778 127,43 A1 kamp noun-en
779 127,37 A1 period noun-en
780 127,04 A1 modern adjective
781 127,02 A1 spelare noun-en
782 127,01 A1 elev noun-en
783 126,93 A1 utredning noun-en
784 126,92 A1 ingå verb
785 126,70 A1 kung noun-en
786 126,46 A1 bestå verb
787 126,45 A1 katt noun-en
788 126,41 A1 konstatera verb
789 126,29 A1 dit adverb
790 126,22 A1 klart adverb
791 126,21 A1 nuvarande adjective
792 126,20 A1 styra verb
793 126,19 A1 förlora verb
794 126,15 A1 vit adjective
795 125,96 A1 klocka noun-en
796 125,75 A1 påstå verb
797 125,65 A1 skatt noun-en
798 125,13 A1 besluta verb
799 125,01 A1 befolkning noun-en
800 124,91 A1 avse verb
801 124,53 A1 ro noun-en
802 124,48 A1 privat adjective
803 124,22 A1 steg noun-ett
804 123,80 A1 art noun-en
805 123,76 A1 stödja verb
806 123,18 A1 ond adjective
807 122,73 A1 plan noun-en
808 122,43 A1 resa noun-en
809 122,27 A1 utom prep
810 122,24 A1 hund noun-en
811 122,20 A1 syn noun-en
812 122,09 A1 glömma verb
813 121,92 A1 avtal noun-ett
814 121,70 A1 lek noun-en
815 121,60 A1 kul adjective
816 121,51 A1 natt noun-en
817 121,43 A1 förändra verb
818 121,39 A1 ange verb
819 121,12 A1 någonting pronoun
820 121,03 A1 förstås adverb
821 120,93 A1 individ noun-en
822 120,93 A1 älska verb
823 120,87 A1 motion noun-en
824 120,57 A1 glad adjective
825 120,50 A1 ned particle
826 120,28 A1 dator noun-en
827 120,16 A1 miljö noun-en
828 119,87 A1 ek noun-en
829 119,86 A1 åtminstone adverb
830 119,78 A1 presentera verb
831 119,33 A1 stanna verb
832 119,29 A1 byta verb
833 118,94 A1 alternativ noun-ett
834 118,87 A1 minut noun-en
835 118,79 A1 ingenting pronoun
836 118,65 A1 uppleva verb
837 118,53 A1 samla verb
838 118,26 A1 svart adjective
839 118,12 A1 bakgrund noun-en
840 118,07 A1 skott noun-ett
841 118,02 A1 ö noun-en
842 118,00 A1 kärlek noun-en
843 117,61 A1 metod noun-en
844 117,18 A1 äldre adjective
845 117,08 A1 säker adjective
846 117,01 A1 borgare noun-en
